Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 Egzaminas
Vardas1 Pavarde1 4 6 3 1 9 8 8 4 2 8
Vardas2 Pavarde2 3 7 10 5 5 6 2 10 1 1
Vardas3 Pavarde3 3 8 6 5 1 5 6 8 2 1
Vardas4 Pavarde4 3 8 1 8 8 4 8 3 10 2
Vardas5 Pavarde5 1 7 4 1 2 6 10 3 10 6
Vardas6 Pavarde6 5 6 2 10 3 7 10 4 3 3
Vardas7 Pavarde7 3 9 3 1 1 3 8 7 7 9
Vardas8 Pavarde8 2 5 3 6 9 6 2 9 7 5
Vardas9 Pavarde9 4 6 4 3 7 5 7 4 2 5
Vardas10 Pavarde10 9 7 10 8 6 5 10 10 5 5
Vardas11 Pavarde11 8 1 3 10 6 4 1 6 7 9
Vardas12 Pavarde12 3 1 4 8 7 2 7 6 10 4
Vardas13 Pavarde13 5 6 3 7 5 7 7 7 1 2
Vardas14 Pavarde14 2 5 2 7 1 1 6 2 10 10
Vardas15 Pavarde15 10 6 8 6 10 5 5 9 2 1
Vardas16 Pavarde16 7 2 5 4 1 5 8 2 4 5
Vardas17 Pavarde17 10 1 3 10 9 3 5 8 1 9
Vardas18 Pavarde18 9 1 8 6 3 2 4 2 7 1
Vardas19 Pavarde19 7 7 9 5 2 8 10 5 5 5
Vardas20 Pavarde20 3 6 4 4 1 2 4 10 10 1
Vardas21 Pavarde21 4 9 2 10 3 9 5 4 9 1
Vardas22 Pavarde22 7 3 6 2 9 2 1 5 1 1
Vardas23 Pavarde23 8 10 7 8 3 2 7 5 10 9
Vardas24 Pavarde24 9 8 6 6 3 10 9 5 4 7
Vardas25 Pavarde25 2 8 8 5 10 5 5 1 10 9
Vardas26 Pavarde26 5 6 8 8 10 9 9 7 1 6
Vardas27 Pavarde27 5 4 8 7 7 10 8 6 10 5
Vardas28 Pavarde28 8 8 9 5 7 10 9 10 3 6
Vardas29 Pavarde29 4 10 4 6 7 6 10 10 4 3
Vardas30 Pavarde30 9 2 1 8 5 5 8 1 2 6
Vardas31 Pavarde31 6 8 10 1 1 9 5 7 10 8
Vardas32 Pavarde32 3 7 2 10 6 3 4 4 8 9
Vardas33 Pavarde33 2 4 4 10 3 7 8 3 10 3
Vardas34 Pavarde34 5 9 9 8 10 10 2 3 5 8
Vardas35 Pavarde35 4 7 9 4 1 4 3 9 2 6
Vardas36 Pavarde36 5 3 3 3 10 1 6 9 9 10
Vardas37 Pavarde37 7 4 7 10 9 8 3 9 3 8
Vardas38 Pavarde38 8 6 5 4 6 9 4 9 6 5
Vardas39 Pavarde39 4 7 3 1 2 10 6 9 3 2
Vardas40 Pavarde40 9 5 7 2 2 7 4 7 6 6
Vardas41 Pavarde41 4 2 1 6 10 3 8 7 6 5
Vardas42 Pavarde42 6 5 6 9 1 3 3 8 2 5
Vardas43 Pavarde43 3 10 2 9 8 2 6 8 10 6
Vardas44 Pavarde44 2 9 10 8 9 9 5 4 5 2
Vardas45 Pavarde45 10 5 3 9 3 5 4 9 10 4
Vardas46 Pavarde46 2 8 1 2 3 8 6 6 10 5
Vardas47 Pavarde47 5 2 8 9 10 1 1 3 6 10
Vardas48 Pavarde48 7 8 9 7 9 1 8 9 2 4
Vardas49 Pavarde49 3 1 2 2 4 9 3 2 8 7
Vardas50 Pavarde50 10 3 10 2 5 3 8 1 5 2
Vardas51 Pavarde51 4 6 2 3 10 10 5 6 5 6
Vardas52 Pavarde52 1 5 5 10 2 2 1 6 7 5
Vardas53 Pavarde53 8 5 8 2 10 7 10 1 5 2
Vardas54 Pavarde54 2 9 10 1 10 7 9 10 4 5
Vardas55 Pavarde55 8 3 5 3 4 7 3 4 9 5
